codigo,marca
857,0
865,SERATO
869,PRESTA SERVICO
874,MODELO
875,MANUTENCAO
878,000
880,0
881,A9
882,KWID
884,ERINALDO
885,000
886,C8
887,LANCER
888,SPIN
889,000
896,SAIU SEM PAGAR
897,DIRCEU MORENO MASSA
898,0
899,GILVANI
900,000
901,KANGOO
902,0
908,FIAT
910,ADVOGADO
911,/FORNECEDORA
912,000
916,000
920,B.O TOALHA TEREZA
942,RAFAEL
945,0
947,0
950,UG CHAMAR GERENTE
951,CACTUS
953,952
955,ARRIZO
957,FIAT PULSE
958,ATOS
959,FIAT ARGO
963,FORD
966,ARRIZO
971,ARIZZO
977,000
978,SENTRA
979,000
987,PRADO
988,BYD
989,FABIANA
990,CRIS
991,CARLOS EDUARDO
992,000
993,LANCER
995,CANIVAL
996,000
997,000
998,REPRESENTANTE
999,ENTREGA
